date,machine_name,region_id,genotype,incubator,sex,status
2016-01-14,ETHOSCOPE_009,13,CS,7,U,deadpupa
2016-01-14,ETHOSCOPE_009,14,CS,7,U,deadpupa
2016-01-14,ETHOSCOPE_009,15,CS,7,F,OK
2016-01-14,ETHOSCOPE_009,16,CS,7,F,OK
2016-01-14,ETHOSCOPE_009,17,CS,7,F,OK
2016-01-14,ETHOSCOPE_009,18,CS,7,F,OK
2016-01-14,ETHOSCOPE_009,19,CS,7,U,deadpupa
2016-01-14,ETHOSCOPE_009,20,CS,7,M,OK
2016-01-14,ETHOSCOPE_010,1,CS,7,U,deadpupa
2016-01-14,ETHOSCOPE_010,2,CS,7,U,deadpupa
2016-01-14,ETHOSCOPE_010,3,CS,7,M,OK
2016-01-14,ETHOSCOPE_010,4,CS,7,F,OK
2016-01-14,ETHOSCOPE_010,5,CS,7,M,OK
2016-01-14,ETHOSCOPE_010,6,CS,7,U,deadpupa
2016-01-14,ETHOSCOPE_010,7,CS,7,F,OK
2016-01-14,ETHOSCOPE_010,8,CS,7,M,OK
2016-01-14,ETHOSCOPE_010,9,CS,7,M,OK
2016-01-14,ETHOSCOPE_010,10,CS,7,U,deadpupa
2016-01-14,ETHOSCOPE_010,11,CS,7,M,OK
2016-01-14,ETHOSCOPE_010,12,CS,7,F,OK
2016-01-14,ETHOSCOPE_010,13,CS,7,U,deadfly
2016-01-14,ETHOSCOPE_010,14,CS,7,M,OK
2016-01-14,ETHOSCOPE_010,15,CS,7,M,OK
2016-01-14,ETHOSCOPE_010,16,CS,7,M,OK
2016-01-14,ETHOSCOPE_010,17,CS,7,M,OK
2016-01-14,ETHOSCOPE_010,18,CS,7,F,OK
2016-01-14,ETHOSCOPE_010,19,CS,7,F,OK
2016-01-14,ETHOSCOPE_010,20,CS,7,F,OK
2016-01-14,ETHOSCOPE_016,1,CS,7,F,OK
2016-01-14,ETHOSCOPE_016,2,CS,7,M,OK
2016-01-14,ETHOSCOPE_016,3,CS,7,F,OK
2016-01-14,ETHOSCOPE_016,4,CS,7,M,OK
2016-01-14,ETHOSCOPE_016,5,CS,7,M,OK
2016-01-14,ETHOSCOPE_016,6,CS,7,F,OK
2016-01-14,ETHOSCOPE_016,7,CS,7,U,deadpupa
2016-01-14,ETHOSCOPE_016,8,CS,7,F,OK
2016-01-14,ETHOSCOPE_016,9,CS,7,F,OK
2016-01-14,ETHOSCOPE_016,10,CS,7,F,OK
2016-01-14,ETHOSCOPE_016,11,CS,7,F,OK
2016-01-14,ETHOSCOPE_016,12,CS,7,F,OK
2016-01-14,ETHOSCOPE_016,13,CS,7,F,OK
2016-01-14,ETHOSCOPE_016,14,CS,7,F,OK
2016-01-14,ETHOSCOPE_016,15,CS,7,M,OK
2016-01-14,ETHOSCOPE_016,16,CS,7,M,OK
2016-01-14,ETHOSCOPE_016,17,CS,7,U,deadfly
2016-01-14,ETHOSCOPE_016,18,CS,7,M,OK
2016-01-14,ETHOSCOPE_016,19,CS,7,F,OK
2016-01-14,ETHOSCOPE_016,20,CS,7,M,OK
2016-01-14,ETHOSCOPE_024,1,CS,7,F,OK
2016-01-14,ETHOSCOPE_024,2,CS,7,F,OK
2016-01-14,ETHOSCOPE_024,3,CS,7,F,OK
2016-01-14,ETHOSCOPE_024,4,CS,7,M,OK
2016-01-14,ETHOSCOPE_024,5,CS,7,M,OK
2016-01-14,ETHOSCOPE_024,6,CS,7,U,deadpupa
2016-01-14,ETHOSCOPE_024,7,CS,7,M,OK
2016-01-14,ETHOSCOPE_024,8,CS,7,F,OK
2016-01-14,ETHOSCOPE_024,9,CS,7,M,OK
2016-01-14,ETHOSCOPE_024,10,CS,7,M,OK
2016-01-14,ETHOSCOPE_024,11,CS,7,M,OK
2016-01-14,ETHOSCOPE_024,12,CS,7,F,OK
2016-01-14,ETHOSCOPE_024,13,CS,7,U,deadpupa
2016-01-14,ETHOSCOPE_024,14,CS,7,M,OK
2016-01-14,ETHOSCOPE_024,15,CS,7,F,OK
2016-01-14,ETHOSCOPE_024,16,CS,7,F,OK
2016-01-14,ETHOSCOPE_024,17,CS,7,M,OK
2016-01-14,ETHOSCOPE_024,18,CS,7,M,OK
2016-01-14,ETHOSCOPE_024,19,CS,7,F,OK
2016-01-14,ETHOSCOPE_024,20,CS,7,F,OK
