date,machine_name,region_id,status,sex,genotype,light_duration
2016-07-14,ETHOSCOPE_041,3,ok,M,CS,6
2016-07-14,ETHOSCOPE_041,4,ok,M,CS,6
2016-07-14,ETHOSCOPE_041,5,ok,M,CS,6
2016-07-14,ETHOSCOPE_041,6,ok,M,CS,6
2016-07-14,ETHOSCOPE_041,7,ok,F,CS,6
2016-07-14,ETHOSCOPE_041,8,ok,F,CS,6
2016-07-14,ETHOSCOPE_041,9,ok,M,CS,6
2016-07-14,ETHOSCOPE_041,10,ok,F,CS,6
2016-07-14,ETHOSCOPE_041,11,ok,M,CS,6
2016-07-14,ETHOSCOPE_041,12,ok,M,CS,6
2016-07-14,ETHOSCOPE_041,13,ok,M,CS,6
2016-07-14,ETHOSCOPE_041,14,ok,M,CS,6
2016-07-14,ETHOSCOPE_041,15,ok,F,CS,6
2016-07-14,ETHOSCOPE_041,16,ok,M,CS,6
2016-07-14,ETHOSCOPE_041,17,ok,M,CS,6
2016-07-14,ETHOSCOPE_041,18,dead,NA,CS,6
2016-07-14,ETHOSCOPE_041,19,dead,NA,CS,6
2016-07-14,ETHOSCOPE_041,20,hurt,F,CS,6
